date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:30:56	764/764	---MCZ	200	added ('OK')	text/plain	etag:W/%2266609403-88d%22	https://www.mererid.co.uk/robots.txt		(from )
21:30:56	18996/18996	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Nov%202024%2021:30:55%20GMT	https://www.mererid.co.uk/	/home/thanasis/websites/mererid/www.mererid.co.uk/index.html	(from )
21:30:56	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%225b2173e4-3aee%22	https://www.mererid.co.uk/sites/mererid.co.uk/themes/mererid/favicon.ico	/home/thanasis/websites/mererid/www.mererid.co.uk/sites/mererid.co.uk/themes/mererid/favicon.ico	(from https://www.mererid.co.uk/)
21:30:58	3008/3008	---MCZ	200	added ('OK')	text/css	etag:W/%22673100bf-bc0%22	https://www.mererid.co.uk/sites/mererid.co.uk/files/css/css_lQaZfjVpwP_oGNqdtWCSpJT1EMqXdMiU84ekLLxQnc4.css	/home/thanasis/websites/mererid/www.mererid.co.uk/sites/mererid.co.uk/files/css/css_lQaZfjVpwP_oGNqdtWCSpJT1EMqXdMiU84ekLLxQnc4.css	(from https://www.mererid.co.uk/)
21:30:59	2352/2352	---MCZ	200	added ('OK')	text/css	etag:W/%22673100bf-930%22	https://www.mererid.co.uk/sites/mererid.co.uk/files/css/css_botNHIYRQPys-RH2iA3U4LbV9bPNRS64tLAs8ec1ch8.css	/home/thanasis/websites/mererid/www.mererid.co.uk/sites/mererid.co.uk/files/css/css_botNHIYRQPys-RH2iA3U4LbV9bPNRS64tLAs8ec1ch8.css	(from https://www.mererid.co.uk/)
21:31:00	494/494	---MCZ	200	added ('OK')	text/css	etag:W/%226731450c-1ee%22	https://www.mererid.co.uk/sites/mererid.co.uk/files/css/css_PGbJgHCUCBf4dg7K9Kt8aAwsApndP4GZ9RuToPy3-Fk.css	/home/thanasis/websites/mererid/www.mererid.co.uk/sites/mererid.co.uk/files/css/css_PGbJgHCUCBf4dg7K9Kt8aAwsApndP4GZ9RuToPy3-Fk.css	(from https://www.mererid.co.uk/)
21:31:01	27487/27487	---MCZ	200	added ('OK')	text/css	etag:W/%22673100bf-6b5f%22	https://www.mererid.co.uk/sites/mererid.co.uk/files/css/css_91akY3YTaAxRizWOeCql1q8-alRHamI2-_1tgAXlaqc.css	/home/thanasis/websites/mererid/www.mererid.co.uk/sites/mererid.co.uk/files/css/css_91akY3YTaAxRizWOeCql1q8-alRHamI2-_1tgAXlaqc.css	(from https://www.mererid.co.uk/)
21:31:02	118240/118240	---MCZ	200	added ('OK')	application/javascript	etag:W/%22673100bf-1cde0%22	https://www.mererid.co.uk/sites/mererid.co.uk/files/js/js_YD9ro0PAqY25gGWrTki6TjRUG8TdokmmxjfqpNNfzVU.js	/home/thanasis/websites/mererid/www.mererid.co.uk/sites/mererid.co.uk/files/js/js_YD9ro0PAqY25gGWrTki6TjRUG8TdokmmxjfqpNNfzVU.js	(from https://www.mererid.co.uk/)
21:31:03	16511/16511	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Nov%202024%2021:31:02%20GMT	https://www.mererid.co.uk/blog/2	/home/thanasis/websites/mererid/www.mererid.co.uk/blog/2.html	(from https://www.mererid.co.uk/)
21:31:04	7147/7147	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Nov%202024%2021:31:03%20GMT	https://www.mererid.co.uk/contact	/home/thanasis/websites/mererid/www.mererid.co.uk/contact.html	(from https://www.mererid.co.uk/)
21:31:05	5930/5930	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Nov%202024%2021:31:04%20GMT	https://www.mererid.co.uk/node/2	/home/thanasis/websites/mererid/www.mererid.co.uk/node/2.html	(from https://www.mererid.co.uk/)
21:31:06	20208/20208	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Nov%202024%2021:31:05%20GMT	https://www.mererid.co.uk/works	/home/thanasis/websites/mererid/www.mererid.co.uk/works.html	(from https://www.mererid.co.uk/)
21:31:07	5147/5147	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Nov%202024%2021:31:06%20GMT	https://www.mererid.co.uk/node/1	/home/thanasis/websites/mererid/www.mererid.co.uk/node/1.html	(from https://www.mererid.co.uk/)
21:31:08	5274/5274	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Nov%202024%2021:31:07%20GMT	https://www.mererid.co.uk/node/5	/home/thanasis/websites/mererid/www.mererid.co.uk/node/5.html	(from https://www.mererid.co.uk/)
21:31:09	5436/5436	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Nov%202024%2021:31:08%20GMT	https://www.mererid.co.uk/node/6	/home/thanasis/websites/mererid/www.mererid.co.uk/node/6.html	(from https://www.mererid.co.uk/)
21:31:10	5312/5312	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Nov%202024%2021:31:09%20GMT	https://www.mererid.co.uk/node/7	/home/thanasis/websites/mererid/www.mererid.co.uk/node/7.html	(from https://www.mererid.co.uk/)
21:31:11	5435/5435	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Nov%202024%2021:31:10%20GMT	https://www.mererid.co.uk/node/8	/home/thanasis/websites/mererid/www.mererid.co.uk/node/8.html	(from https://www.mererid.co.uk/)
21:31:12	5387/5387	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Nov%202024%2021:31:11%20GMT	https://www.mererid.co.uk/node/9	/home/thanasis/websites/mererid/www.mererid.co.uk/node/9.html	(from https://www.mererid.co.uk/)
